,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
1946,Commercial,40638,47011366,50,3,5,16,4,Moderate,Yes,1,2,Delhi,6,17,Time and materials,Medium,365
1947,Infrastructure,12079,80627528,82,7,19,88,0,Adverse,Yes,2,7,Pune,4,8,Time and materials,Medium,624
1948,Industrial,36978,21592201,92,6,29,84,1,Favorable,No,5,5,Chennai,9,4,Time and materials,Medium,961
1949,Industrial,28590,60179648,80,10,13,46,3,Adverse,Yes,2,10,Delhi,3,16,Time and materials,Medium,910
1950,Residential,26784,46233656,55,4,25,96,1,Favorable,Yes,5,1,Delhi,6,19,Time and materials,Medium,175
1951,Commercial,43456,35616545,92,7,28,61,4,Adverse,No,4,5,Mumbai,7,5,Fixed price,Low,797
1952,Educational,28782,5772152,5,7,16,65,3,Moderate,No,3,0,Chennai,5,5,Time and materials,High,396
1953,Educational,9728,46648905,93,8,33,73,0,Adverse,Yes,2,1,Banglore,1,3,Time and materials,Low,125
1954,Infrastructure,29889,62497921,85,5,7,50,1,Moderate,No,3,2,Banglore,4,8,Fixed price,Low,334
1955,Commercial,42808,6613938,96,9,37,94,1,Favorable,Yes,2,0,Mumbai,6,7,Time and materials,High,654
1956,Commercial,28056,36294655,33,2,25,11,1,Favorable,Yes,5,7,Banglore,1,11,Fixed price,High,978
1957,Educational,16234,59541793,42,1,25,13,2,Favorable,No,5,3,Kolkata,6,16,Time and materials,High,439
1958,Residential,23823,41468875,84,5,23,60,2,Favorable,No,3,5,Mumbai,1,15,Time and materials,Medium,956
1959,Industrial,48498,13152844,67,7,28,92,2,Adverse,Yes,5,8,Mumbai,3,14,Time and materials,High,604
1960,Commercial,23506,59103304,11,3,14,56,2,Adverse,No,4,5,Delhi,6,18,Time and materials,High,409
1961,Infrastructure,38327,59423020,61,7,34,60,4,Favorable,Yes,1,5,Mumbai,10,3,Time and materials,Medium,862
1962,Educational,24219,46416671,60,4,50,54,3,Moderate,No,1,2,Chennai,5,16,Fixed price,Medium,924
1963,Commercial,18001,39149938,9,6,26,40,1,Moderate,No,3,1,Delhi,2,18,Fixed price,Medium,725
1964,Industrial,45392,81614979,21,4,36,12,0,Adverse,Yes,1,6,Banglore,2,7,Time and materials,High,397
1965,Educational,11665,70173346,21,1,48,82,3,Adverse,No,5,1,Chennai,6,11,Time and materials,Low,908
1966,Educational,9902,5039843,70,5,27,31,3,Moderate,No,1,8,Mumbai,2,2,Time and materials,High,644
1967,Infrastructure,48774,58798860,6,1,47,69,5,Moderate,Yes,1,9,Pune,9,3,Fixed price,High,962
1968,Residential,7732,16240361,21,1,19,15,0,Moderate,No,2,2,Kolkata,2,3,Time and materials,Low,450
1969,Educational,47921,4182038,41,9,39,51,3,Moderate,No,3,0,Delhi,8,4,Time and materials,High,332
1970,Residential,45062,82344466,98,4,40,10,5,Moderate,Yes,5,7,Kolkata,7,6,Fixed price,Medium,262
1971,Infrastructure,28457,61193493,52,7,17,15,0,Favorable,Yes,5,6,Hyderabad,6,9,Fixed price,High,518
1972,Infrastructure,9043,28094587,37,1,35,89,4,Adverse,No,2,4,Pune,2,18,Fixed price,Low,173
1973,Residential,37875,9842887,85,1,17,13,3,Adverse,No,2,4,Delhi,6,3,Fixed price,High,120
1974,Commercial,35595,5972182,57,4,50,51,3,Adverse,No,5,8,Chennai,2,4,Fixed price,Low,975
1975,Industrial,29061,16884026,100,3,19,33,2,Favorable,Yes,5,4,Delhi,5,6,Fixed price,Medium,219
1976,Educational,30429,50618297,35,8,20,46,1,Adverse,No,2,9,Pune,2,9,Time and materials,High,707
1977,Infrastructure,35204,41653135,35,8,50,77,0,Moderate,Yes,1,0,Mumbai,9,5,Time and materials,Medium,996
1978,Educational,48222,53728224,64,4,20,100,3,Adverse,Yes,5,9,Mumbai,3,9,Fixed price,Low,671
1979,Infrastructure,2794,17351814,61,9,13,19,5,Adverse,No,1,9,Banglore,6,14,Fixed price,Medium,223
1980,Commercial,12849,7199586,5,6,34,82,2,Favorable,No,1,2,Delhi,4,3,Fixed price,Low,803
1981,Industrial,6951,39045109,55,8,13,65,3,Adverse,No,1,2,Hyderabad,2,7,Fixed price,Low,788
1982,Industrial,46907,70694669,22,1,46,83,1,Favorable,No,2,4,Kolkata,5,4,Fixed price,Low,273
1983,Educational,48585,53890987,42,1,18,70,1,Moderate,No,2,7,Delhi,3,19,Fixed price,Medium,246
1984,Commercial,17115,9392114,47,10,25,93,0,Favorable,Yes,3,4,Kolkata,3,13,Fixed price,High,444
1985,Commercial,15693,66418509,51,5,49,58,1,Favorable,Yes,2,1,Pune,10,12,Fixed price,Medium,934
1986,Residential,32614,80897444,26,10,27,3,3,Adverse,Yes,1,0,Kolkata,7,19,Fixed price,Medium,943
1987,Educational,30120,56083266,22,10,42,95,0,Moderate,No,2,5,Chennai,7,12,Fixed price,High,724
1988,Commercial,30294,81234756,12,3,22,73,5,Moderate,No,5,7,Delhi,3,4,Time and materials,Low,468
1989,Educational,38636,55910294,45,8,16,23,3,Moderate,No,2,8,Kolkata,10,9,Time and materials,Low,753
1990,Industrial,41257,34404828,83,4,47,53,1,Favorable,No,5,7,Banglore,10,5,Fixed price,High,486
1991,Residential,1540,71719636,25,2,29,30,0,Moderate,No,4,8,Kolkata,4,19,Time and materials,Medium,271
1992,Residential,30056,33889149,44,6,17,56,0,Favorable,Yes,5,9,Pune,3,2,Fixed price,Medium,963
1993,Industrial,28975,29941254,22,7,24,97,4,Moderate,Yes,4,2,Kolkata,5,9,Fixed price,Medium,348
1994,Industrial,28661,71892940,25,7,5,10,0,Moderate,No,2,1,Delhi,6,15,Time and materials,High,509
1995,Residential,4693,6066968,65,7,16,24,0,Moderate,Yes,2,5,Hyderabad,5,6,Fixed price,Low,307
1996,Commercial,11180,39504597,25,5,20,22,0,Favorable,Yes,4,9,Hyderabad,9,11,Fixed price,Medium,128
1997,Industrial,1246,4899905,44,9,33,18,1,Adverse,Yes,2,0,Chennai,3,18,Fixed price,Low,344
1998,Educational,33445,6056676,20,9,34,93,3,Favorable,No,2,5,Pune,9,8,Time and materials,Low,270
1999,Commercial,27472,67414426,38,10,50,98,2,Moderate,Yes,5,0,Pune,4,5,Fixed price,High,472
2000,Commercial,8590,26618183,29,8,32,21,1,Moderate,Yes,2,4,Delhi,9,4,Fixed price,Medium,196
2001,Commercial,34792,34716991,80,9,33,92,1,Favorable,No,4,4,Mumbai,6,12,Time and materials,Low,268
2002,Educational,7840,21424707,58,6,16,9,0,Moderate,Yes,1,9,Pune,4,1,Fixed price,High,209
2003,Industrial,3927,20141527,87,5,31,74,1,Adverse,No,3,3,Mumbai,7,4,Fixed price,High,709
2004,Infrastructure,46282,81185703,41,9,41,80,2,Favorable,Yes,3,1,Kolkata,3,18,Fixed price,Medium,592
2005,Residential,35037,31240370,16,3,21,95,3,Adverse,No,2,9,Banglore,8,2,Fixed price,Medium,864
2006,Infrastructure,3702,34486085,71,9,32,22,5,Adverse,Yes,5,5,Chennai,1,5,Fixed price,Medium,830
2007,Commercial,42337,46450535,43,6,40,64,2,Moderate,No,3,5,Mumbai,3,1,Fixed price,Low,768
2008,Infrastructure,18443,15013953,58,2,33,76,3,Adverse,No,2,1,Hyderabad,9,16,Fixed price,Medium,595
2009,Educational,44629,76729184,42,7,38,50,3,Moderate,No,3,7,Pune,2,5,Fixed price,Medium,546
2010,Industrial,15082,45862812,68,6,24,58,1,Favorable,Yes,2,5,Pune,10,11,Time and materials,Medium,996
2011,Commercial,39404,74280435,39,10,5,2,0,Adverse,No,1,7,Pune,2,2,Fixed price,Medium,886
2012,Residential,32383,34935281,59,4,10,27,2,Favorable,No,1,3,Chennai,2,12,Fixed price,Low,120
2013,Infrastructure,36309,16309334,49,5,12,58,2,Moderate,No,5,7,Kolkata,7,9,Fixed price,High,787
2014,Educational,5911,79095099,25,7,5,91,2,Favorable,Yes,4,4,Pune,1,3,Fixed price,Medium,548
2015,Residential,7222,40033639,23,6,44,96,3,Adverse,Yes,3,10,Chennai,7,7,Fixed price,High,989
2016,Industrial,19483,67773982,20,10,27,33,1,Favorable,Yes,1,3,Mumbai,3,16,Time and materials,Medium,861
2017,Infrastructure,37309,55509819,94,1,45,1,1,Moderate,Yes,3,7,Mumbai,2,1,Time and materials,Low,919
2018,Infrastructure,22412,16329088,42,1,22,25,0,Favorable,No,3,3,Delhi,3,4,Fixed price,Medium,409
2019,Industrial,19893,39048678,27,7,8,38,5,Favorable,No,5,4,Kolkata,2,15,Time and materials,Medium,548
2020,Infrastructure,49851,8155414,14,3,32,60,1,Adverse,Yes,1,0,Banglore,3,11,Time and materials,Low,524
2021,Educational,18776,49497631,78,3,50,53,1,Favorable,No,4,3,Delhi,6,8,Fixed price,Low,853
2022,Infrastructure,4397,28975632,22,4,50,57,5,Adverse,No,3,4,Pune,8,1,Fixed price,High,115
2023,Educational,15058,20502162,35,8,29,62,1,Favorable,Yes,2,2,Mumbai,1,19,Fixed price,High,580
2024,Residential,4100,10417496,100,9,25,41,3,Moderate,Yes,2,9,Mumbai,5,16,Fixed price,Low,483
2025,Industrial,37365,41292583,39,2,26,4,4,Adverse,Yes,2,10,Delhi,3,11,Time and materials,Low,136
2026,Infrastructure,44309,45292934,19,10,26,32,2,Favorable,Yes,3,1,Chennai,1,6,Time and materials,Low,494
2027,Residential,29011,61540599,19,10,18,64,2,Favorable,No,2,8,Pune,8,10,Fixed price,High,677
2028,Educational,7759,47670303,36,1,39,99,2,Adverse,No,1,7,Pune,3,17,Fixed price,High,886
2029,Industrial,27365,16086396,78,1,39,46,1,Favorable,Yes,4,3,Delhi,10,5,Fixed price,Medium,190
2030,Industrial,7631,20933264,56,3,46,79,1,Moderate,Yes,4,7,Kolkata,4,1,Fixed price,High,901
2031,Residential,38705,5293574,32,4,31,7,3,Adverse,Yes,2,8,Kolkata,3,10,Time and materials,High,862
2032,Infrastructure,26525,32758357,88,4,35,3,3,Adverse,No,2,10,Chennai,5,18,Fixed price,High,259
2033,Industrial,4923,34260325,7,1,25,30,3,Moderate,Yes,3,3,Banglore,1,12,Time and materials,Medium,849
2034,Residential,34677,72962063,63,1,24,60,5,Adverse,No,1,0,Pune,9,5,Fixed price,High,477
2035,Commercial,27157,51089156,94,8,15,46,5,Moderate,No,5,10,Mumbai,6,17,Time and materials,Low,225
2036,Infrastructure,34974,8072580,39,2,24,40,0,Adverse,No,4,3,Delhi,8,4,Fixed price,High,673
2037,Commercial,13360,68785835,73,2,44,55,0,Moderate,Yes,2,8,Mumbai,1,4,Fixed price,Low,263
2038,Industrial,41042,4458926,45,10,24,2,0,Moderate,Yes,4,6,Hyderabad,4,11,Time and materials,High,304
2039,Industrial,12014,57599759,26,4,7,56,0,Favorable,Yes,3,9,Chennai,6,6,Fixed price,High,752
2040,Infrastructure,49623,21704500,22,8,20,78,1,Favorable,Yes,4,0,Delhi,8,3,Time and materials,Medium,709
2041,Residential,40682,63137104,31,7,10,53,5,Moderate,No,4,10,Chennai,6,13,Time and materials,Medium,348
2042,Educational,22035,71455115,51,9,17,1,2,Moderate,No,3,2,Delhi,3,10,Time and materials,High,405
2043,Industrial,4166,67678283,20,7,41,21,3,Favorable,No,2,0,Hyderabad,7,19,Fixed price,High,939
2044,Residential,33719,31969857,49,9,37,40,3,Favorable,No,4,1,Kolkata,7,11,Fixed price,Low,108
2045,Infrastructure,10875,68648470,19,1,11,12,3,Adverse,Yes,5,7,Pune,5,9,Time and materials,Medium,427
2046,Infrastructure,3679,38462532,73,8,30,57,1,Favorable,Yes,3,5,Chennai,10,20,Time and materials,Low,151
2047,Residential,42493,42010865,24,1,36,11,0,Adverse,Yes,2,0,Chennai,7,16,Fixed price,High,798
2048,Educational,23961,35992203,13,3,31,97,2,Moderate,No,4,10,Hyderabad,9,4,Time and materials,High,983
2049,Commercial,42034,44246055,53,5,45,54,4,Favorable,Yes,1,2,Delhi,1,19,Time and materials,Low,612
2050,Educational,22698,23980692,65,3,46,70,0,Adverse,No,4,7,Kolkata,3,7,Fixed price,High,928
2051,Commercial,4643,46110899,27,1,20,55,4,Adverse,Yes,1,6,Mumbai,6,16,Time and materials,High,912
2052,Educational,32689,36574531,88,8,49,76,5,Adverse,No,2,3,Chennai,1,18,Fixed price,High,352
2053,Infrastructure,10133,16893322,73,7,42,95,5,Adverse,No,1,3,Chennai,9,1,Time and materials,Medium,750
2054,Industrial,43828,10145339,66,2,49,64,4,Moderate,No,5,4,Kolkata,1,7,Fixed price,Low,708
2055,Infrastructure,38231,79259107,24,2,49,0,5,Moderate,Yes,4,4,Chennai,3,20,Time and materials,Low,862
2056,Infrastructure,41805,47771397,78,7,9,71,4,Adverse,Yes,5,10,Hyderabad,9,14,Fixed price,High,449
2057,Commercial,35563,67428204,8,7,24,26,0,Favorable,No,3,7,Delhi,2,18,Fixed price,Medium,305
2058,Commercial,45403,72908860,33,10,41,22,0,Adverse,Yes,5,3,Pune,8,4,Fixed price,High,874
2059,Infrastructure,5685,70193349,50,9,36,12,4,Adverse,No,4,0,Mumbai,4,3,Time and materials,Medium,745
2060,Residential,2080,82772497,20,10,7,7,1,Moderate,Yes,5,1,Kolkata,5,5,Time and materials,Medium,110
2061,Residential,15676,17088704,88,5,40,0,4,Favorable,No,3,7,Chennai,5,16,Time and materials,Low,428
2062,Industrial,18190,31816473,47,9,5,35,0,Moderate,No,1,9,Mumbai,3,4,Fixed price,High,271
2063,Infrastructure,33615,41758462,81,1,32,53,3,Adverse,No,2,6,Kolkata,3,4,Time and materials,Low,975
2064,Residential,35482,60477203,90,8,45,93,1,Favorable,No,3,2,Kolkata,4,17,Time and materials,Low,705
2065,Industrial,42107,39859588,51,5,31,95,1,Adverse,No,5,7,Delhi,8,12,Fixed price,Medium,835
2066,Educational,31805,50555881,93,9,49,23,5,Adverse,Yes,1,4,Mumbai,4,6,Time and materials,High,488
2067,Residential,12930,70506508,63,6,37,16,1,Favorable,Yes,5,0,Kolkata,4,17,Time and materials,High,468
2068,Infrastructure,30845,66111160,9,9,14,56,0,Favorable,No,1,0,Hyderabad,7,16,Fixed price,Medium,745
2069,Infrastructure,32107,66518607,47,9,14,87,1,Moderate,Yes,5,7,Mumbai,8,15,Time and materials,High,970
2070,Residential,14604,51197720,12,2,29,68,3,Adverse,Yes,3,4,Hyderabad,7,18,Fixed price,Medium,976
2071,Commercial,48681,67704677,81,1,35,97,5,Favorable,No,3,10,Kolkata,7,6,Time and materials,High,879
2072,Residential,16378,80735926,83,4,26,21,3,Favorable,No,5,6,Kolkata,2,4,Time and materials,Low,992
2073,Industrial,29566,69735521,56,6,50,95,5,Moderate,Yes,2,8,Kolkata,3,14,Time and materials,Low,715
2074,Commercial,3193,8321248,7,8,6,63,1,Favorable,No,5,6,Banglore,10,8,Fixed price,Low,742
2075,Residential,21900,11634857,5,4,39,47,4,Favorable,Yes,4,1,Mumbai,3,3,Fixed price,Low,129
2076,Infrastructure,1510,67805024,99,9,24,93,2,Adverse,No,4,10,Hyderabad,1,19,Time and materials,Low,480
2077,Commercial,35615,9565418,11,4,12,18,5,Adverse,Yes,2,9,Chennai,2,3,Time and materials,Medium,439
2078,Educational,26317,69880024,61,3,32,2,2,Adverse,Yes,4,5,Mumbai,7,12,Time and materials,High,883
2079,Residential,23790,27572102,54,10,32,54,1,Adverse,Yes,3,8,Kolkata,7,2,Time and materials,Medium,509
2080,Residential,20216,49746382,64,3,21,3,3,Moderate,Yes,1,8,Hyderabad,2,10,Time and materials,Low,136
2081,Residential,43121,29867052,95,2,47,58,4,Adverse,Yes,5,0,Kolkata,6,17,Fixed price,Medium,987
2082,Industrial,6307,45686188,99,1,15,69,1,Moderate,Yes,4,9,Kolkata,6,5,Fixed price,High,449
2083,Educational,25195,70821908,82,2,8,83,5,Adverse,No,5,8,Hyderabad,4,15,Time and materials,High,925
2084,Residential,3700,30748512,33,7,12,10,4,Favorable,Yes,5,8,Pune,2,3,Fixed price,High,740
2085,Industrial,22895,50873605,10,1,30,84,4,Adverse,Yes,3,10,Kolkata,10,13,Time and materials,Low,845
2086,Commercial,30589,35444071,29,5,25,74,5,Adverse,No,1,9,Banglore,8,16,Time and materials,High,196
2087,Industrial,22373,34273771,49,8,17,15,0,Favorable,No,2,8,Mumbai,1,1,Time and materials,Low,241
2088,Commercial,40153,42995162,63,2,16,30,0,Adverse,No,5,9,Banglore,9,11,Fixed price,High,896
2089,Educational,25467,64121650,79,9,10,28,5,Moderate,Yes,3,2,Hyderabad,4,7,Fixed price,Low,274
2090,Commercial,33653,43360362,9,2,50,48,2,Moderate,No,1,10,Hyderabad,8,9,Fixed price,Medium,961
2091,Infrastructure,1884,46008643,84,2,12,60,5,Adverse,Yes,2,6,Pune,3,18,Time and materials,High,607
2092,Educational,23847,47906853,35,10,35,50,3,Adverse,No,5,0,Pune,6,4,Time and materials,Low,359
2093,Commercial,18801,24229526,42,8,27,12,2,Moderate,Yes,4,2,Pune,8,15,Fixed price,Low,327
2094,Commercial,42269,59144970,76,2,42,76,2,Favorable,Yes,4,2,Pune,9,16,Fixed price,Low,756
2095,Commercial,33050,32138928,29,1,11,94,2,Moderate,Yes,3,10,Banglore,3,12,Fixed price,High,567
2096,Residential,42215,16578835,53,9,29,0,2,Adverse,No,4,7,Pune,8,14,Time and materials,High,333
2097,Commercial,31408,53534502,71,6,21,9,4,Favorable,Yes,4,1,Kolkata,5,17,Fixed price,Low,363
2098,Educational,11823,60740894,20,4,34,83,4,Favorable,Yes,2,8,Chennai,6,11,Fixed price,Medium,604
2099,Infrastructure,32105,12662978,93,10,6,46,5,Favorable,No,5,2,Hyderabad,6,7,Fixed price,High,933
2100,Commercial,20587,46906869,22,2,44,84,3,Favorable,No,5,10,Chennai,4,11,Time and materials,High,481
2101,Commercial,24137,73262523,26,7,5,28,4,Adverse,Yes,4,10,Banglore,2,2,Fixed price,Medium,763
2102,Industrial,44993,65971471,33,5,44,14,1,Adverse,Yes,2,6,Kolkata,9,11,Time and materials,Low,847
2103,Industrial,17385,82404475,92,6,12,25,3,Moderate,No,3,8,Kolkata,8,8,Fixed price,Low,401
2104,Commercial,2203,44067854,74,5,33,0,0,Moderate,No,1,1,Pune,1,8,Time and materials,Low,695
2105,Industrial,48436,35596625,24,3,43,40,4,Moderate,No,3,0,Hyderabad,4,17,Time and materials,Medium,314
2106,Educational,26174,34707778,40,5,12,0,0,Moderate,No,5,8,Chennai,9,6,Fixed price,Medium,587
2107,Industrial,46560,78680763,61,3,33,77,0,Adverse,Yes,4,3,Pune,5,8,Time and materials,High,689
2108,Residential,45214,14953695,84,6,6,23,5,Favorable,Yes,2,5,Chennai,1,1,Fixed price,High,613
2109,Educational,43607,18018387,37,6,9,85,1,Moderate,No,5,0,Kolkata,3,15,Fixed price,Low,659
2110,Commercial,38210,67406707,31,3,29,72,3,Favorable,No,1,7,Hyderabad,7,5,Time and materials,Low,510
2111,Residential,13004,10100602,48,1,33,3,4,Adverse,No,3,3,Delhi,7,6,Time and materials,High,794
2112,Educational,48155,43781504,85,1,26,85,3,Moderate,No,4,6,Chennai,5,7,Fixed price,Medium,685
2113,Industrial,19487,12386505,36,7,16,87,2,Moderate,Yes,4,7,Delhi,4,15,Fixed price,High,444
2114,Educational,5236,12510922,55,9,7,30,2,Favorable,No,2,3,Banglore,7,2,Time and materials,High,932
2115,Residential,19590,72680942,52,2,21,64,4,Moderate,No,4,3,Kolkata,10,17,Fixed price,Medium,129
2116,Residential,44134,54973722,53,7,15,6,3,Favorable,Yes,5,7,Delhi,6,9,Time and materials,High,728
2117,Residential,38636,40424237,39,1,5,6,1,Favorable,No,4,4,Kolkata,9,20,Fixed price,Low,322
2118,Educational,18386,15032130,95,6,38,5,0,Moderate,No,3,4,Mumbai,7,8,Time and materials,Low,132
2119,Infrastructure,20840,72628901,76,4,32,31,1,Moderate,Yes,4,8,Banglore,4,11,Fixed price,Medium,894
2120,Educational,44886,80567768,55,9,31,29,0,Favorable,No,2,7,Mumbai,7,13,Time and materials,Medium,927
2121,Infrastructure,21997,61985728,47,1,29,79,2,Favorable,Yes,1,2,Delhi,1,8,Time and materials,Low,922
2122,Educational,34362,38855371,51,5,46,8,5,Favorable,Yes,1,3,Banglore,7,6,Time and materials,Low,392
2123,Commercial,36552,5316150,6,10,21,88,1,Moderate,Yes,1,7,Banglore,5,17,Fixed price,Low,600
2124,Industrial,12122,31654042,33,9,49,65,1,Favorable,No,2,4,Delhi,9,13,Time and materials,Low,660
2125,Infrastructure,5985,4178469,81,7,7,43,1,Adverse,No,2,1,Kolkata,6,9,Fixed price,Medium,525
2126,Industrial,2158,31826931,59,10,26,44,2,Adverse,No,2,3,Mumbai,8,12,Fixed price,Low,342
2127,Infrastructure,41445,34916191,25,9,50,47,3,Moderate,No,4,5,Pune,6,4,Time and materials,Low,500
2128,Infrastructure,37731,28663303,52,7,25,66,1,Moderate,No,4,2,Delhi,8,17,Time and materials,High,287
2129,Industrial,44140,75555979,87,8,17,18,3,Adverse,No,2,4,Chennai,9,6,Time and materials,High,205
2130,Infrastructure,39603,55430886,76,1,45,81,1,Moderate,Yes,5,10,Kolkata,9,8,Fixed price,Medium,746
2131,Commercial,11255,53642485,44,7,13,84,2,Moderate,No,4,5,Delhi,8,16,Time and materials,Medium,173
2132,Industrial,45144,21740605,62,6,46,73,5,Adverse,No,1,2,Banglore,7,16,Time and materials,High,609
2133,Industrial,48594,51544660,64,3,46,36,2,Moderate,Yes,5,1,Delhi,9,14,Fixed price,High,583
2134,Infrastructure,1400,81388306,37,1,37,100,1,Moderate,Yes,2,9,Mumbai,9,4,Fixed price,Medium,905
2135,Industrial,39017,72187756,38,6,11,31,2,Favorable,No,1,9,Kolkata,2,19,Time and materials,High,825
2136,Residential,19528,77337076,100,2,14,83,1,Moderate,No,5,4,Delhi,3,2,Time and materials,Low,351
2137,Commercial,29741,50612819,11,5,30,67,0,Adverse,No,1,9,Pune,8,18,Time and materials,Medium,703
2138,Infrastructure,32689,4195318,43,6,39,87,4,Adverse,Yes,1,0,Mumbai,1,3,Time and materials,Low,715
2139,Commercial,4137,5655039,6,1,48,41,1,Adverse,No,4,6,Mumbai,5,9,Time and materials,Medium,334
2140,Commercial,30771,28618234,78,6,13,45,0,Moderate,Yes,4,9,Kolkata,1,10,Time and materials,High,923
2141,Commercial,15302,43698338,48,9,45,37,4,Moderate,No,3,3,Chennai,9,19,Fixed price,High,758
2142,Infrastructure,6775,45428141,55,3,13,71,2,Adverse,Yes,4,8,Chennai,1,1,Time and materials,Low,143
2143,Infrastructure,22377,70255433,79,4,31,2,4,Adverse,Yes,3,4,Mumbai,8,17,Time and materials,Low,861
2144,Educational,27561,39637563,65,9,42,18,1,Moderate,No,4,7,Delhi,1,19,Fixed price,Low,180
2145,Infrastructure,20897,73161429,26,1,45,6,2,Favorable,Yes,5,0,Delhi,3,3,Fixed price,Low,176
2146,Infrastructure,13930,36637777,56,2,18,78,3,Adverse,No,2,9,Hyderabad,9,14,Fixed price,High,882
2147,Industrial,6487,32131707,15,3,45,73,1,Moderate,Yes,2,8,Delhi,3,4,Fixed price,High,442
2148,Industrial,37000,57467042,80,9,35,47,1,Adverse,Yes,4,2,Hyderabad,6,20,Time and materials,Medium,974
2149,Industrial,42517,65682299,67,2,32,10,0,Favorable,No,2,8,Hyderabad,4,18,Fixed price,Medium,814
2150,Educational,38064,77485646,73,1,36,76,5,Moderate,No,2,10,Banglore,5,7,Time and materials,High,603
2151,Industrial,45455,48843342,52,6,12,48,5,Adverse,Yes,5,9,Chennai,5,16,Time and materials,High,228
2152,Residential,43301,60238993,58,10,34,71,3,Favorable,No,3,10,Banglore,7,2,Fixed price,High,370
2153,Infrastructure,27044,31681515,14,8,32,83,5,Favorable,Yes,3,3,Mumbai,4,18,Fixed price,Low,729
2154,Residential,47587,11470517,24,5,9,38,3,Moderate,Yes,1,8,Banglore,4,13,Fixed price,Low,266
2155,Infrastructure,33766,34704375,49,10,49,9,5,Moderate,Yes,3,7,Kolkata,6,20,Fixed price,Low,876
2156,Industrial,8133,64220005,89,8,32,99,2,Favorable,Yes,1,6,Banglore,6,15,Time and materials,High,306
2157,Commercial,29311,78896480,44,9,7,1,3,Adverse,Yes,1,9,Kolkata,7,8,Time and materials,High,164
2158,Residential,32872,6798115,50,2,26,96,0,Favorable,Yes,3,4,Mumbai,8,8,Fixed price,Medium,932
2159,Residential,6465,66901403,57,4,18,24,4,Moderate,No,3,1,Kolkata,1,9,Fixed price,Medium,715
2160,Commercial,46316,34036889,12,2,23,98,4,Moderate,Yes,3,4,Delhi,1,4,Fixed price,Medium,988
2161,Residential,28740,28754603,61,7,22,70,4,Moderate,Yes,4,1,Mumbai,8,16,Time and materials,High,300
2162,Commercial,12985,42730641,17,3,37,58,4,Favorable,Yes,2,7,Pune,6,5,Time and materials,Low,252
2163,Educational,10914,60897100,45,8,33,35,0,Favorable,No,3,10,Kolkata,3,1,Fixed price,Low,745
